,,,,boaz's test,,,,,,,,,,our output Algo1,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,lat,lon,,,,,compare lon,compare lat,,,,,,lon,lat,
5,1c:b9:c4:16:e5:a8,Ariel_University,6,-81,32.10340998,35.20969477,704.4103268,03/12/2017 09:03,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:e5:a8,6,-81,32.10340998,35.20969477,704.4103268
131,1c:b9:c4:96:f1:57, ,52,-82,32.10340998,35.20969477,704.4103268,03/12/2017 09:03,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:f1:57,52,-82,32.10340998,35.20969477,704.4103268
33,1c:b9:c4:95:ed:b7, ,48,-92,32.10342274,35.2097119,704.2450229,03/12/2017 09:03,Approx. w-center algo1,,0,0,,,1c:b9:c4:95:ed:b7,48,-92,32.10342274,35.2097119,704.2450229
28,1c:b9:c4:96:ed:47, ,36,-91,32.10342274,35.2097119,704.2450229,03/12/2017 09:03,Approx. w-center algo1,,0,0,,,1c:b9:c4:96:ed:47,36,-91,32.10342274,35.2097119,704.2450229
109,1c:b9:c4:15:ed:3c,Ariel_University,36,-91,32.10351072,35.20990554,710.4194107,03/12/2017 09:05,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:ed:3c,36,-91,32.10351072,35.20990554,710.4194107
122,1c:b9:c4:15:fd:4c,Ariel_University,36,-83,32.10351072,35.20990554,710.4194107,03/12/2017 09:05,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:fd:4c,36,-83,32.10351072,35.20990554,710.4194107
99,8c:0c:90:2e:16:88,Ariel_University,11,-80,32.10351563,35.20922592,694.6152531,03/12/2017 09:07,Approx. w-center algo1,,0,0,,TP-LINK_ADD150,74:ea:3a:ad:d1:50,4,-88,32.10351563,35.20922592,694.6152531
24,1c:b9:c4:95:fd:47, ,36,-88,32.10353904,35.20994639,710.4770499,03/12/2017 09:05,Approx. w-center algo1,,0,0,,,1c:b9:c4:95:fd:47,36,-88,32.10353904,35.20994639,710.4770499
135,1c:b9:c4:15:ed:38,Ariel_University,6,-87,32.10360316,35.21000505,710.5814622,03/12/2017 09:06,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:ed:38,6,-87,32.10360316,35.21000505,710.5814622
121,3c:52:82:ef:a4:8b,DIRECT-8A-HP DeskJet 3630 series,6,-82,32.10363048,35.21005058,710.6278805,03/12/2017 09:06,Approx. w-center algo1,,0,0,,DIRECT-8A-HP DeskJet 3630 series,3c:52:82:ef:a4:8b,6,-82,32.10363048,35.21005058,710.6278805
139,00:27:22:f3:bb:2b, ,6,-87,32.10365359,35.21010139,710.6710794,03/12/2017 09:06,Approx. w-center algo1,,0,0,,,00:27:22:f3:bb:2b,6,-87,32.10365359,35.21010139,710.6710794
62,8c:0c:90:2e:e8:18,Ariel_University,6,-90,32.10366281,35.20997695,711.1571521,03/12/2017 09:06,Approx. w-center algo1,,0,0,,Ariel_University,8c:0c:90:2d:75:e8,1,-83,32.10366281,35.20997695,711.1571521
41,24:79:2a:2b:07:bc,Ariel_University,36,-85,32.10369861,35.21017541,710.7485234,03/12/2017 09:06,Approx. w-center algo1,,0,0,,Ariel_University,24:79:2a:2b:07:bc,36,-85,32.10369861,35.21017541,710.7485234
38,1c:b9:c4:16:1d:7c,Ariel_University,44,-89,32.10370923,35.20946174,698.1977168,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:1d:7c,44,-89,32.10370923,35.20946174,698.1977168
71,1c:b9:c4:15:1c:bc,Ariel_University,36,-84,32.10371198,35.21003936,711.0753764,03/12/2017 09:06,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:1c:bc,36,-84,32.10371198,35.21003936,711.0753764
23,1c:b9:c4:16:ed:48,Ariel_University,6,-83,32.10371892,35.21036013,697.529939,03/12/2017 08:55,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:16:ed:48,6,-84,32.10371892,35.21036013,697.529939
25,24:79:2a:2c:5c:1c,Ariel_University,36,-84,32.1037249,35.21020742,710.7830608,03/12/2017 09:06,Approx. w-center algo1,,0,0,,Ariel_University,24:79:2a:2c:5c:1c,36,-84,32.1037249,35.21020742,710.7830608
123,24:79:2a:ab:07:b7, ,36,-87,32.1037249,35.21020742,710.7830608,03/12/2017 09:06,Approx. w-center algo1,,0,0,,,24:79:2a:ab:07:b7,36,-87,32.1037249,35.21020742,710.7830608
82,24:79:2a:ab:bd:87, ,44,-84,32.1037249,35.21020742,710.7830608,03/12/2017 09:06,Approx. w-center algo1,,0,0,,,24:79:2a:ab:bd:87,44,-84,32.1037249,35.21020742,710.7830608
